timer,lineLeft,lineCenter,lineRight,LeftFrontCurrent,LeftFrontVoltage,LeftFrontValue,LeftFrontPosition,LeftFrontVelocity,LeftFrontFaults,LeftRearCurrent,LeftRearVoltage,LeftRearValue,LeftRearPosition,LeftRearVelocity,LeftRearFaults,RightFrontCurrent,RightFrontVoltage,RightFrontValue,RightFrontPosition,RightFrontVelocity,RightFrontFaults,RightRearCurrent,RightRearVoltage,RightRearValue,RightRearPosition,RightRearVelocity,RightRearFaults,navx_Pitch,navx_Roll,navx_Yaw,navx_XAcc,navx_YAcc,navx_ZAcc,navx_Temp,navx_Bar,navx_Alt,navx_XDis,navx_YDis,
1144.083704,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.083704,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.1002409999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.1002409999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.1468519999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.1468519999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.190675,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.190675,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.24433,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.24433,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.299199,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.299199,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.340683,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.340683,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.3859180000002,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.3859180000002,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.431589,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.431589,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.482967,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.482967,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.5152549999998,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.5152549999998,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.569757,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.569757,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.6228939999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.6228939999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.669006,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.669006,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.722152,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.722152,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.769306,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.769306,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.822705,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.822705,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.8688769999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.8688769999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.912469,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.912469,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.9602889999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.9602889999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.99407,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1144.99407,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.049264,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.049264,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.0969129999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.0969129999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.145329,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.145329,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.200684,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.200684,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.246869,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.246869,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.294358,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.294358,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.342332,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.342332,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.38963,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.38963,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.443129,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.443129,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1145.4887079999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
