timer,lineLeft,lineCenter,lineRight,driverLeftX,driverLeftY,driverRightX,driverRightY,driverA,driverB,driverX,driverY,operatorLeftX,operatorLeftY,operatorRightX,operatorRightY,operatorA,operatorB,operatorX,operatorY,LeftFrontCurrent,LeftFrontVoltage,LeftFrontValue,LeftFrontPosition,LeftFrontVelocity,LeftFrontFaults,LeftRearCurrent,LeftRearVoltage,LeftRearValue,LeftRearPosition,LeftRearVelocity,LeftRearFaults,RightFrontCurrent,RightFrontVoltage,RightFrontValue,RightFrontPosition,RightFrontVelocity,RightFrontFaults,RightRearCurrent,RightRearVoltage,RightRearValue,RightRearPosition,RightRearVelocity,RightRearFaults,LiftCurrent,LiftVoltage,LiftValue,LiftPosition,LiftVelocity,LiftFaults,WristCurrent,WristVoltage,WristValue,WristPosition,WristVelocity,WristFaults,RollerCurrent,RollerVoltage,RollerValue,RollerPosition,RollerVelocity,RollerFaults,PushersState,PivotsState,navx_Pitch,navx_Roll,navx_Yaw,navx_XAcc,navx_YAcc,navx_ZAcc,navx_Temp,navx_Bar,navx_Alt,navx_XDis,navx_YDis,
43.341801999999994,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-87.88,-1.46,-1.47,-0.10101318,-0.49731445,0.111328125,26.8,0.0,-88.0,-0.16036987,-0.09654236,
43.479707,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-87.87,-1.54,-1.55,0.03375244,-0.6274414,-0.05822754,26.8,0.0,51.0,-0.1900177,-0.09359741,
43.533102,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-88.07,-1.44,-1.45,0.13690186,-0.8378296,-0.040161133,26.8,0.0,158.0,-0.21144104,-0.09214783,
43.579455,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-88.37,-1.23,-1.24,0.20300293,-1.0305786,0.13800049,26.8,0.0,224.0,-0.23075867,-0.09173584,
43.627018,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-88.7,-0.96,-0.97,0.25146484,-1.2284546,0.16351318,26.8,0.0,271.0,-0.24723816,-0.09033203,
43.67623,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-89.01,-0.65,-0.65,0.31988525,-1.4320679,0.19763184,26.8,0.0,334.0,-0.26023865,-0.08694458,
43.718948999999995,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-89.26,-0.27,-0.27,0.3657837,-1.5322876,0.25964355,26.8,0.0,371.0,-0.2690277,-0.08126831,
43.761318,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.125,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.450000000000001,0.0,0,0,0,kReverse,kOff,-89.34,0.16,0.15,0.40753174,-1.6570435,0.3145752,26.84,0.0,400.0,-0.27316284,-0.072402954,
43.808119000000005,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.125,12.35,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.125,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,kReverse,kOff,-89.18,0.54,0.53,0.40307617,-1.6191406,0.33551025,26.84,0.0,385.0,-0.27246094,-0.05973816,
43.850463000000005,true,true,true,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,-0.0078125,0.0,-0.0078125,false,false,false,false,0.0,12.35,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.125,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.0,12.35,0.0,0,0,0,0.0,12.4,0.0,0,0,0,kReverse,kOff,-88.96,0.85,0.85,0.338562,-1.4645996,0.28857422,26.84,0.0,314.0,-0.26452637,-0.03730774,
