timer,lineLeft,lineCenter,lineRight,LeftFrontCurrent,LeftFrontVoltage,LeftFrontValue,LeftFrontPosition,LeftFrontVelocity,LeftFrontFaults,LeftRearCurrent,LeftRearVoltage,LeftRearValue,LeftRearPosition,LeftRearVelocity,LeftRearFaults,RightFrontCurrent,RightFrontVoltage,RightFrontValue,RightFrontPosition,RightFrontVelocity,RightFrontFaults,RightRearCurrent,RightRearVoltage,RightRearValue,RightRearPosition,RightRearVelocity,RightRearFaults,LiftCurrent,LiftVoltage,LiftValue,LiftPosition,LiftVelocity,LiftFaults,WristCurrent,WristVoltage,WristValue,WristPosition,WristVelocity,WristFaults,RollerCurrent,RollerVoltage,RollerValue,RollerPosition,RollerVelocity,RollerFaults,PushersState,PivotsState,navx_Pitch,navx_Roll,navx_Yaw,navx_XAcc,navx_YAcc,navx_ZAcc,navx_Temp,navx_Bar,navx_Alt,navx_XDis,navx_YDis,
902.185573,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.125,12.65,0.0,3663,0,0,0.125,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kOff,kOff,-87.19,2.08,2.65,0.041992188,-0.98168945,0.028137207,35.16,0.0,2.0,-8.17865,11.76416,
902.217034,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.125,12.65,0.0,3663,0,0,0.125,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.036621094,-0.98461914,0.030944824,35.16,0.0,0.0,-8.17865,11.76416,
902.24153,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.18,2.08,2.66,0.034851074,-0.9837036,0.034240723,35.16,0.0,0.0,-8.17865,11.76416,
902.263959,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.030883789,-0.9833374,0.030944824,35.16,0.0,-5.0,-8.17865,11.76416,
902.2877950000001,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.07,2.65,0.030273438,-0.98339844,0.035461426,35.16,0.0,-4.0,-8.17865,11.76416,
902.310375,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.06,2.64,0.032409668,-0.9814453,0.03149414,35.16,0.0,-3.0,-8.17865,11.76416,
902.3320259999999,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.06,2.64,0.035339355,-0.9836426,0.034729004,35.16,0.0,0.0,-8.17865,11.76416,
902.354973,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.06,2.64,0.036376953,-0.9852905,0.025146484,35.16,0.0,-1.0,-8.17865,11.76416,
902.377857,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.07,2.65,0.036071777,-0.9813843,0.03314209,35.16,0.0,0.0,-8.17865,11.76416,
902.399154,true,true,true,0.125,12.65,0.0,-32731,0,0,0.125,12.65,0.0,0,0,0,0.375,12.6,0.0,3663,0,0,0.25,12.65,0.0,0,0,0,0.125,12.65,0.0,4,0,0,0.0,12.65,0.0,0,0,0,0.125,12.700000000000001,0.0,0,0,0,kReverse,kOff,-87.19,2.08,2.65,0.03753662,-0.980896,0.024047852,35.16,0.0,0.0,-8.17865,11.76416,
