timer,lineLeft,lineCenter,lineRight,LeftFrontCurrent,LeftFrontVoltage,LeftFrontValue,LeftFrontPosition,LeftFrontVelocity,LeftFrontFaults,LeftRearCurrent,LeftRearVoltage,LeftRearValue,LeftRearPosition,LeftRearVelocity,LeftRearFaults,RightFrontCurrent,RightFrontVoltage,RightFrontValue,RightFrontPosition,RightFrontVelocity,RightFrontFaults,RightRearCurrent,RightRearVoltage,RightRearValue,RightRearPosition,RightRearVelocity,RightRearFaults,navx_Pitch,navx_Roll,navx_Yaw,navx_XAcc,navx_YAcc,navx_ZAcc,navx_Temp,navx_Bar,navx_Alt,navx_XDis,navx_YDis,
1036.022931,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.022931,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.0405059999998,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.0405059999998,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.060462,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.060462,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.093704,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.093704,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.140202,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.140202,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.1736720000001,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.1736720000001,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.208788,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.208788,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.250723,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.250723,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.291053,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.291053,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.332294,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.332294,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.372745,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.372745,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.392093,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.392093,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.4509170000001,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.4509170000001,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.493378,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.493378,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.53599,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.53599,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.5803879999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.5803879999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.6212,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.6212,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.66127,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.66127,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.699676,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.699676,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.7345559999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.7345559999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.782579,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.782579,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.818376,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.818376,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.856801,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.856801,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.900375,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.900375,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.932456,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.932456,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.9798389999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1036.9798389999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.01109,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.01109,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.052461,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.052461,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.0975429999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.0975429999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.1508589999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.1508589999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.193002,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.193002,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.233557,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.233557,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.2862089999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.2862089999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.31863,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.31863,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.3611429999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.3611429999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.407034,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.407034,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.445492,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.445492,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.4733569999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.4733569999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.520016,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.520016,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.5578269999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.5578269999999,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.604603,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.604603,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.632922,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.632922,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.671226,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.671226,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.710438,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.710438,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.756392,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.756392,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.791769,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.791769,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.832847,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1037.832847,true,true,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
