timer,lineLeft,lineCenter,lineRight,driverLeftX,driverLeftY,driverRightX,driverRightY,driverA,driverB,driverX,driverY,operatorLeftX,operatorLeftY,operatorRightX,operatorRightY,operatorA,operatorB,operatorX,operatorY,LeftFrontCurrent,LeftFrontVoltage,LeftFrontValue,LeftFrontPosition,LeftFrontVelocity,LeftFrontFaults,LeftRearCurrent,LeftRearVoltage,LeftRearValue,LeftRearPosition,LeftRearVelocity,LeftRearFaults,RightFrontCurrent,RightFrontVoltage,RightFrontValue,RightFrontPosition,RightFrontVelocity,RightFrontFaults,RightRearCurrent,RightRearVoltage,RightRearValue,RightRearPosition,RightRearVelocity,RightRearFaults,LiftCurrent,LiftVoltage,LiftValue,LiftPosition,LiftVelocity,LiftFaults,RollerCurrent,RollerVoltage,RollerValue,RollerPosition,RollerVelocity,RollerFaults,PushersState,navx_Pitch,navx_Roll,navx_Yaw,navx_XAcc,navx_YAcc,navx_ZAcc,navx_Temp,navx_Bar,navx_Alt,navx_XDis,navx_YDis,
711.9062929999999,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,12.4,0.0,0,0,64,0.25,12.4,0.0,0,0,0,0.125,12.4,0.0,0,0,0,0.0,12.4,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
711.999417,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,12.0,0.0,0,0,64,0.25,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.0,11.95,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.0924229999999,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,12.0,0.0,0,0,64,0.25,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.0,12.0,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.149755,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,12.0,0.0,0,0,64,0.25,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.0,12.0,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.227562,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,12.0,0.0,0,0,64,0.25,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.0,11.95,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.306719,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,11.95,0.0,0,0,64,0.25,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.0,11.95,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.3710649999999,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,11.95,0.0,0,0,64,0.25,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.0,11.95,0.0,0,0,0,0.125,12.05,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.4248699999999,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,11.95,0.0,0,0,64,0.25,11.95,0.0,0,0,0,0.125,11.95,0.0,0,0,0,0.0,11.95,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.487948,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,11.95,0.0,0,0,64,0.25,11.95,0.0,0,0,0,0.125,11.95,0.0,0,0,0,0.0,11.95,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.560517,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,11.95,0.0,0,0,64,0.25,11.95,0.0,0,0,0,0.125,11.95,0.0,0,0,0,0.0,11.9,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
712.648248,true,true,true,0.0,-0.0078125,-0.0234375,-0.0078125,false,false,false,false,0.0,0.0,0.0,0.0,false,false,false,false,0.0,11.9,0.0,0,0,64,0.25,11.95,0.0,0,0,0,0.125,11.95,0.0,0,0,0,0.0,11.9,0.0,0,0,0,0.125,12.0,0.0,0,0,0,0.125,12.0,0.0,0,0,0,kForward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
